DOEID,REGIONC,DIVISION,TOTROOMS,TOTSQFT_EN,TOTHSQFT,TOTCSQFT,KWH,BTUEL,DOLLAREL,CLIMATE_REGION_PUB,TEMPHOME,TEMPGONE,TEMPNITE,NHSLDMEM,ATHOME,ENERGYASST,MONEYPY,BTUEL_TOTALS,EL_TOTALS
10001,4,10,7,1808,1808,1808,5270.742,17983.771,967.23,Hot-Dry/Mixed-Dry,69,69,60,4,0,0,8,11525.098,2
10002,3,7,4,759,759,759,12173.0,41534.0,1366.0,Hot-Humid,75,70,72,2,1,0,2,29777.38,5
10003,3,6,9,2288,1430,1716,19655.394,67064.204,2428.08,Mixed-Humid,70,70,68,4,5,0,2,43371.958,4
10004,2,4,7,2573,2573,2573,9852.535,33616.851,1313.12,Mixed-Humid,68,65,65,1,3,0,3,22415.503,4
10005,1,2,6,1024,933,933,3115.655,10630.615,581.07,Cold/Very Cold,68,62,66,3,0,0,3,3200.284,2
10006,1,1,1,623,623,623,2777.0,9475.0,494.0,Cold/Very Cold,70,66,70,1,3,0,1,1311.8049999999998,3
10007,3,5,4,832,832,832,2397.758,8181.149,371.61,Hot-Humid,73,70,72,1,0,0,4,4790.812,3
10008,2,3,5,2682,894,358,13890.899,47395.746,1737.17,Cold/Very Cold,66,62,64,2,5,1,3,10472.205,3
10009,1,2,9,1900,1900,1900,10422.424,35561.312,1531.91,Cold/Very Cold,70,70,70,4,5,0,5,20839.747000000003,4
10010,3,7,6,1230,1230,1230,18505.802,63141.798,1973.72,Hot-Humid,70,70,65,4,5,0,6,44767.672999999995,5
10011,1,1,5,2139,1426,285,2469.205,8424.926,568.07,Cold/Very Cold,65,65,65,1,0,0,3,3486.952,4
10012,2,4,4,600,600,0,11065.529,37755.586,1034.54,Mixed-Humid,70,64,68,1,5,0,1,31698.692000000003,2
10013,3,6,5,1884,1884,1884,14766.758,50384.179,1844.84,Hot-Humid,69,50,65,1,5,0,2,37225.551999999996,5
10014,2,3,4,782,782,196,6750.579,23032.974,969.8,Cold/Very Cold,66,55,55,2,0,0,2,17594.256999999998,4
10015,4,8,10,4308,3380,3380,16585.761,56590.618,2037.0,Cold/Very Cold,70,60,60,5,1,0,6,20863.236,4
10016,3,7,6,1597,1597,1597,20554.014,70130.297,1886.68,Hot-Humid,60,60,66,5,5,0,7,51137.11,5
10017,3,5,6,924,924,924,11924.0,40685.0,1562.0,Mixed-Humid,73,73,73,2,5,0,2,25017.004999999997,3
10018,1,2,5,1222,1222,0,2297.369,7838.623,493.79,Cold/Very Cold,69,65,65,6,0,0,3,4419.23,1
10019,4,10,5,1664,1664,1664,4732.068,16145.815,638.81,Marine,70,70,60,2,5,0,4,8919.064,4
10020,3,5,5,2800,1750,560,8973.455,30617.427,1299.88,Mixed-Humid,68,68,68,3,5,0,6,11829.354,3
10021,4,10,7,3008,1504,0,3677.314,12546.996,652.99,Marine,72,62,68,2,2,0,6,3580.5460000000003,2
10022,3,5,8,2019,1346,505,16276.03,55533.815,1353.22,Mixed-Humid,75,75,70,4,5,0,3,13264.719,2
10023,2,3,9,2979,2979,1522,5523.941,18847.687,775.36,Cold/Very Cold,72,69,70,2,5,0,2,7463.933,2
10024,3,5,5,1688,1688,1688,7794.0,26594.0,909.0,Mixed-Humid,74,74,74,1,0,0,2,21897.792999999998,5
10025,2,3,8,3380,2597,2858,10495.739,35811.463,1589.41,Cold/Very Cold,68,68,68,6,5,0,5,14098.195,3
10026,1,2,5,1565,1565,1565,11845.598,40417.181,2117.68,Mixed-Humid,72,68,72,1,0,0,6,33315.69,5
10027,3,5,9,3188,2216,2216,10648.085,36331.266,1492.81,Mixed-Humid,68,62,62,2,5,0,3,18029.118000000002,3
10028,3,5,5,1144,1144,458,14263.18,48665.97,1887.48,Mixed-Humid,68,68,68,2,5,0,3,41545.121,5
10029,3,5,9,2188,2188,2188,12714.271,43381.094,1924.93,Hot-Humid,74,70,70,2,5,0,1,31873.492000000002,3
10030,1,2,7,3059,2552,3059,12340.971,42107.392,1507.29,Cold/Very Cold,68,65,65,1,0,0,2,22130.305,4
10031,4,9,6,3104,3104,3104,13160.886,44904.945,1805.28,Hot-Dry/Mixed-Dry,70,70,71,2,1,0,3,38275.828,4
10032,3,7,5,1802,1802,1802,9212.142,31431.827,1014.14,Hot-Humid,80,80,80,2,5,0,1,21601.293,3
10033,1,2,5,994,994,0,4267.968,14562.306,723.85,Cold/Very Cold,65,65,70,1,3,0,1,8472.975,3
10034,1,2,4,1123,1123,1123,8204.0,27993.0,1268.0,Mixed-Humid,73,70,70,1,5,0,3,21287.092,5
10035,3,5,6,1466,1466,1466,14131.819,48217.765,1695.58,Mixed-Humid,68,62,67,1,2,0,5,39927.175,5
10036,1,2,6,2359,1573,524,2982.857,10177.509,525.49,Mixed-Humid,70,68,70,2,1,0,3,5918.963,3
10037,3,6,9,3298,2746,0,18036.833,61541.675,2281.96,Hot-Humid,70,65,65,3,5,0,2,49096.24799999999,4
10038,3,6,7,1682,1682,1682,8658.848,29543.988,1012.8,Mixed-Humid,68,68,68,2,5,0,2,16884.839,3
10039,4,8,8,2000,2000,0,5477.0,18689.0,468.0,Cold/Very Cold,60,55,58,1,2,0,3,5943.803,1
10040,3,5,6,1050,1050,175,22015.0,75114.0,2439.0,Mixed-Humid,72,72,72,3,5,0,1,58287.618,5
10041,2,4,6,2518,2518,2518,18936.824,64612.442,2018.35,Mixed-Humid,71,71,72,5,5,0,7,43502.734,4
10042,2,4,6,2215,1116,1116,15903.73,54263.527,1560.79,Mixed-Humid,70,68,68,1,5,0,1,15479.067000000001,3
10043,4,10,7,1533,1533,1533,9687.156,33052.575,1318.31,Hot-Dry/Mixed-Dry,68,66,66,2,0,0,8,14433.869999999999,3
10044,1,1,4,811,811,811,5730.847,19553.648,1202.6,Cold/Very Cold,67,64,67,3,5,0,4,12880.905,5
10045,4,10,7,2357,2357,0,8934.666,30485.081,2198.83,Marine,65,66,65,2,2,0,8,10847.732,3
10046,1,1,6,2936,1955,652,3104.036,10590.971,681.68,Cold/Very Cold,65,56,65,3,5,0,5,5507.853,2
10047,4,10,3,1492,1492,0,7719.832,26340.068,783.04,Marine,65,55,55,2,0,0,6,20705.409,4
10048,3,5,6,1570,1570,1570,26326.341,89825.475,2696.14,Mixed-Humid,78,78,78,6,0,0,1,80242.76999999999,5
10049,3,7,6,1632,1632,1632,23277.278,79422.071,2591.06,Hot-Humid,70,80,80,5,1,0,4,70468.217,5
10050,3,7,7,2462,2462,2462,12389.232,42272.061,1196.77,Hot-Humid,70,68,68,2,5,0,2,31996.903,2
10051,2,3,3,1470,1470,320,23652.302,80701.653,2243.38,Cold/Very Cold,70,70,70,2,5,0,1,69400.944,5
10052,1,2,9,3074,2216,2216,12756.136,43523.935,1367.2,Cold/Very Cold,68,65,68,5,5,0,3,20860.873,4
10053,3,7,6,1125,1125,375,5454.763,18611.65,520.85,Hot-Humid,75,50,70,1,5,1,1,13095.949,3
10054,2,3,5,1008,1008,1008,8265.477,28201.808,1029.17,Cold/Very Cold,73,65,70,2,0,0,5,21886.086,4
10055,1,1,5,2608,2009,0,2716.328,9268.111,606.9,Cold/Very Cold,66,60,60,1,5,0,6,1467.943,2
10056,2,4,6,3060,3060,2660,22876.274,78053.848,1659.3,Cold/Very Cold,71,71,71,2,5,0,7,69021.825,5
10057,4,10,4,1240,1240,1240,3070.259,10475.725,418.06,Hot-Dry/Mixed-Dry,72,68,68,1,0,0,4,5311.688,3
10058,3,7,8,1600,1600,1600,9553.753,32597.404,1701.75,Hot-Humid,70,68,68,6,5,0,4,17355.892,3
10059,3,6,9,1272,1272,1272,2242.215,7650.437,528.48,Mixed-Humid,70,65,65,3,4,0,4,4174.97,3
10060,3,5,7,1692,1692,1692,11709.85,39954.008,1367.69,Mixed-Humid,72,72,72,1,5,0,3,30436.778,5
10061,4,10,6,4572,1961,1961,9167.263,31278.701,1212.6,Hot-Dry/Mixed-Dry,78,65,68,4,5,0,5,16573.403,4
10062,3,5,1,822,822,822,12146.645,41444.353,1336.47,Hot-Humid,70,70,60,1,5,0,1,13981.591,5
10063,2,4,6,2142,1428,238,3237.353,11045.848,546.02,Cold/Very Cold,67,62,62,1,5,1,1,3481.321,3
10064,4,9,6,1806,1806,602,11924.0,40686.0,1437.0,Cold/Very Cold,89,70,80,6,5,0,4,28842.939000000002,3
10065,4,10,2,745,745,0,8100.964,27640.488,528.26,Hot-Dry/Mixed-Dry,72,68,55,1,1,0,1,9764.125,3
10066,2,3,6,4968,3888,2808,2820.145,9622.335,276.17,Cold/Very Cold,67,67,60,1,0,0,2,2900.933,2
10067,2,3,8,2438,2438,2438,7689.609,26236.946,1005.97,Cold/Very Cold,72,60,62,4,5,0,5,9303.127999999999,3
10068,1,2,7,3750,3750,3750,7864.04,26832.106,1568.73,Cold/Very Cold,69,69,69,3,5,0,8,14528.268,2
10069,4,10,5,1175,1175,235,20692.415,70602.521,1133.97,Cold/Very Cold,66,55,60,2,2,0,3,63428.894,5
10070,3,6,5,1382,1382,1382,9543.238,32561.527,1093.1,Mixed-Humid,76,76,69,2,2,0,2,20207.506999999998,5
10071,1,1,5,4876,4876,4876,5867.71,20020.625,1157.12,Cold/Very Cold,75,75,78,4,1,0,2,8179.166,2
10072,4,10,3,830,830,830,2483.852,8474.903,355.18,Hot-Dry/Mixed-Dry,75,75,75,2,5,1,3,3690.339,3
10073,4,8,9,5239,3626,3626,13752.294,46922.828,1744.36,Cold/Very Cold,69,67,71,5,5,0,6,21351.086,4
10074,3,6,12,3572,2804,2420,22732.634,77563.748,2789.91,Mixed-Humid,66,66,66,4,5,0,8,35938.026000000005,5
10075,1,1,6,1250,1250,417,12875.97,43932.809,1791.6,Cold/Very Cold,68,60,60,4,3,1,2,33155.684,4
10076,2,4,8,2214,2214,2214,13050.014,44526.648,1285.75,Mixed-Humid,72,72,72,2,5,0,4,22686.653000000002,3
10077,3,7,5,2044,2044,2044,12799.182,43670.808,1886.75,Hot-Humid,68,66,68,3,4,0,6,33083.937,5
10078,4,10,7,1862,1862,0,28598.001,97576.38,2317.37,Marine,68,65,67,5,5,0,2,76141.723,4
10079,3,7,9,2656,2656,2656,16013.85,54639.257,2450.9,Hot-Humid,71,71,69,2,5,0,7,36695.899,3
10080,3,7,8,4310,4310,4310,10750.18,36679.614,1325.4,Mixed-Humid,70,70,68,2,5,0,8,19375.125999999997,3
10081,2,3,2,676,676,338,8000.073,27296.25,1274.3,Cold/Very Cold,73,62,72,1,0,1,1,21309.159,5
10082,3,6,9,2986,2986,2986,23987.674,81845.943,2550.04,Mixed-Humid,68,60,60,2,0,0,6,72065.802,4
10083,2,3,9,7878,7878,7878,22091.804,75377.235,3112.2,Cold/Very Cold,72,72,72,4,5,0,8,23609.625999999997,3
10084,4,8,7,2192,1841,0,8649.323,29511.489,1081.2,Cold/Very Cold,77,77,72,8,5,1,5,12476.997,2
10085,4,10,4,377,377,0,7674.976,26187.019,1502.15,Hot-Dry/Mixed-Dry,68,65,65,3,1,0,3,18150.817,4
10086,4,10,6,1332,1332,0,3000.048,10236.165,525.0,Marine,72,55,60,2,5,0,6,5322.6810000000005,3
10087,3,5,5,1241,1241,1241,7048.496,24049.469,1037.2,Mixed-Humid,68,68,62,1,1,0,3,17198.574,5
10088,3,7,7,3648,3256,3256,22429.279,76528.699,2210.53,Hot-Humid,68,60,65,4,0,0,5,58180.530999999995,3
10089,2,3,5,1528,1528,1528,4851.806,16554.363,705.5,Cold/Very Cold,72,68,68,1,5,0,2,6419.955,3
10090,4,10,4,1638,1638,410,10489.063,35788.681,1142.9,Marine,60,65,55,3,5,0,2,28078.082000000002,5
10091,2,3,6,2250,1125,1125,7341.073,25047.741,906.79,Cold/Very Cold,73,70,73,4,5,0,8,16719.746,4
10092,2,3,8,3264,3264,3264,12508.59,42679.31,1848.9,Cold/Very Cold,68,65,65,5,5,0,7,13618.887,3
10093,2,3,5,1562,1562,625,15583.48,53170.835,2015.87,Mixed-Humid,69,67,69,2,5,0,2,36691.504,4
10094,2,3,4,1281,928,232,4210.857,14367.444,542.68,Cold/Very Cold,60,50,55,1,5,0,2,5680.808,3
10095,3,6,5,1080,1080,1080,22557.2,76965.166,2187.95,Hot-Humid,70,65,70,5,3,0,3,58355.527,3
10096,4,8,3,717,717,0,5776.584,19709.704,670.01,Cold/Very Cold,70,60,70,3,1,0,2,5813.775,2
10097,3,6,7,1787,1787,1787,8547.681,29164.688,1219.47,Hot-Humid,69,67,69,5,5,0,3,22061.949,5
10098,4,10,14,6640,6640,889,14464.971,49354.482,1028.69,Marine,72,68,67,2,5,0,8,9819.106,3
10099,3,6,5,1300,1300,1300,14663.587,50032.16,2150.62,Mixed-Humid,70,70,70,1,2,0,2,26443.862,4
10100,4,10,5,1650,1650,0,12671.665,43235.722,1015.01,Marine,70,64,64,1,5,0,2,26857.449999999997,4
10101,2,3,5,925,925,0,4747.802,16199.499,672.61,Cold/Very Cold,69,62,63,1,5,1,1,3438.5950000000003,2
10102,4,10,7,2020,2020,0,9353.333,31913.573,1156.09,Marine,62,58,58,4,1,0,5,21868.137000000002,4
10103,4,10,11,3389,3389,3389,27067.0,92352.0,4446.0,Hot-Dry/Mixed-Dry,80,75,63,5,5,0,6,21812.459,3
10104,3,5,6,1910,1910,1910,15563.903,53104.038,1665.74,Hot-Humid,74,68,68,2,5,0,5,30329.497,4
10105,3,5,9,1579,1185,234,9943.23,33926.301,1153.91,Mixed-Humid,70,65,70,6,2,1,1,26190.414,4
10106,2,3,9,5178,5178,5178,11493.188,39214.757,1817.08,Cold/Very Cold,69,69,69,2,3,0,8,11498.524000000001,3
10107,1,2,9,3528,3528,2352,28857.999,98463.492,4197.42,Mixed-Humid,68,68,68,4,5,0,7,67736.04,3
10108,2,3,6,2290,2290,2290,8994.0,30686.0,1013.0,Cold/Very Cold,70,60,68,1,5,0,3,7006.903,3
10109,3,5,13,6790,5725,5193,17936.0,61197.632,1860.72,Mixed-Humid,68,64,64,3,0,0,8,39852.814,3
10110,3,6,9,2545,2082,1619,18541.286,63262.868,2276.1,Mixed-Humid,72,72,68,2,5,0,2,54772.424,5
10111,3,6,7,2340,2340,2340,19444.088,66343.227,2093.15,Mixed-Humid,70,70,70,5,0,0,5,51946.60799999999,5
10112,3,5,7,2520,2520,2520,16406.533,55979.091,1922.48,Mixed-Humid,71,60,68,2,5,0,8,27958.915,4
10113,2,3,7,1891,1891,1891,6832.615,23312.883,1015.16,Cold/Very Cold,70,70,70,2,2,0,1,15853.282,4
10114,3,5,6,1284,1284,1284,9602.0,32763.0,1281.0,Mixed-Humid,55,68,65,1,1,0,3,28431.813000000002,4
10115,2,3,5,828,828,828,1557.498,5314.183,376.57,Cold/Very Cold,70,70,70,1,2,0,3,2861.417,2
10116,3,7,4,890,890,0,7601.74,25937.137,889.95,Mixed-Humid,72,72,70,3,0,0,2,20817.529,2
10117,2,3,4,761,761,761,1595.27,5443.062,231.17,Cold/Very Cold,62,56,56,1,0,0,1,2668.456,4
10118,3,7,7,1352,1352,1352,17645.0,60204.0,1980.0,Hot-Humid,68,64,68,4,2,0,6,49555.912,5
10119,4,9,8,1578,1578,1578,13567.0,46290.604,1368.27,Hot-Dry/Mixed-Dry,69,66,67,2,2,0,5,27029.669,3
10120,1,2,4,1255,915,915,6929.633,23643.909,981.19,Mixed-Humid,70,70,68,2,0,0,5,11244.461,2
10121,1,2,1,612,612,612,5298.368,18078.03,1466.1,Mixed-Humid,50,60,72,2,5,0,8,4156.8099999999995,3
10122,3,5,5,1237,1237,247,7515.0,25641.0,1002.0,Mixed-Humid,68,68,60,4,0,0,1,21227.198,5
10123,3,7,5,1910,1910,0,12519.995,42718.224,1323.41,Hot-Humid,80,65,80,2,1,0,2,36542.962,2
10124,2,3,4,1051,1051,1051,13456.919,45915.009,1494.7,Cold/Very Cold,68,64,68,1,0,0,4,39001.979,5
10125,4,10,3,792,792,0,9268.0,31622.0,1630.0,Marine,70,65,70,3,5,0,5,23394.794,2
10126,4,10,5,4692,3400,0,3844.394,13117.072,688.98,Marine,70,65,65,1,5,0,3,6193.512,3
10127,3,5,6,1350,1350,1350,8426.17,28750.093,1537.04,Cold/Very Cold,73,73,73,2,5,0,3,20031.907,3
10128,3,5,4,744,744,372,12030.344,41047.532,1699.3,Mixed-Humid,72,60,60,1,4,0,1,33188.633,5
10129,3,5,8,2733,2733,2733,14664.145,50034.061,1605.06,Hot-Humid,70,70,70,2,5,0,4,33746.034999999996,5
10130,3,7,7,4476,4476,3924,21942.716,74868.546,2624.7,Hot-Humid,70,78,72,4,4,0,5,60452.100000000006,5
10131,4,10,6,1766,1766,0,4085.478,13939.651,705.1,Hot-Dry/Mixed-Dry,66,60,60,2,5,0,7,3204.3950000000004,1
10132,1,1,7,1317,1317,188,12368.0,42198.0,2199.0,Cold/Very Cold,62,58,62,2,3,0,4,18574.753,5
10133,3,5,10,5726,3919,3919,20598.0,70280.0,2341.0,Mixed-Humid,68,66,68,3,0,0,8,45856.509000000005,5
10134,3,5,9,2904,2904,2904,14014.138,47816.239,1751.29,Mixed-Humid,68,55,61,2,0,0,3,27844.702,4
10135,4,10,10,3930,3930,3930,17831.454,60840.921,3525.77,Marine,72,55,70,6,5,0,8,8081.298000000001,2
10136,4,9,8,2640,2640,2640,3058.182,10434.516,433.72,Hot-Dry/Mixed-Dry,70,70,70,2,5,0,6,3993.768,2
10137,3,7,5,1551,1551,1551,6120.861,20884.378,641.03,Hot-Humid,68,68,68,2,5,0,2,12068.41,5
10138,2,4,13,6095,6095,6095,26461.735,90287.441,2528.7,Cold/Very Cold,68,64,64,2,5,0,8,26798.756999999998,3
10139,3,5,8,2792,2128,2128,18441.697,62923.07,2348.64,Hot-Humid,72,68,68,2,3,0,6,48250.701,5
10140,2,3,5,1520,1520,1520,2934.0,10011.0,379.0,Cold/Very Cold,76,70,77,4,5,0,4,3617.3959999999997,2
10141,3,5,8,3176,3176,3176,17500.909,59713.101,1926.76,Hot-Humid,73,68,69,3,5,0,6,42500.462,5
10142,3,5,4,2000,2000,1438,13806.849,47108.97,1456.19,Cold/Very Cold,75,70,69,3,5,0,3,22056.400999999998,4
10143,3,5,9,3449,2368,526,12780.0,43605.36,1796.19,Mixed-Humid,65,65,65,1,5,0,2,34887.116,5
10144,1,2,6,1436,1436,479,4256.968,14524.774,814.79,Cold/Very Cold,72,60,65,4,3,1,1,4912.327,3
10145,4,10,6,1451,1451,484,25529.114,87105.338,2617.23,Marine,69,69,62,6,5,0,2,61276.872,5
10146,2,3,5,1684,1684,1010,12639.235,43125.068,1861.97,Cold/Very Cold,63,63,63,3,2,0,4,34673.748,3
10147,3,7,8,3655,3655,3655,22049.114,75231.578,2581.2,Hot-Humid,73,73,62,2,5,0,5,49807.3,4
10148,4,8,10,1807,1418,142,19015.29,64880.171,1639.16,Cold/Very Cold,68,68,68,2,5,0,2,54268.871,5
10149,3,6,4,1873,1873,1873,21704.55,74055.923,2599.48,Mixed-Humid,78,78,78,3,5,0,4,63693.611000000004,5
10150,2,4,4,964,964,241,6035.892,20594.464,699.53,Cold/Very Cold,65,65,65,1,3,1,1,11881.630000000001,5
10151,4,10,5,646,646,0,1249.023,4261.668,146.36,Marine,70,60,70,1,2,0,1,861.551,1
10152,3,7,6,2250,2250,2250,10778.25,36775.388,1239.82,Mixed-Humid,72,68,68,3,5,0,4,11890.137999999999,3
10153,3,5,6,2137,2137,2137,13926.781,47518.178,2143.65,Hot-Humid,78,70,78,2,1,0,4,36517.184,5
10154,3,5,8,4292,2146,1746,10030.988,34225.732,1114.44,Mixed-Humid,70,68,68,2,2,0,3,21668.053,4
10155,3,5,9,3298,2746,2746,22806.959,77817.344,2616.33,Mixed-Humid,70,68,68,2,5,0,8,36410.84,3
10156,1,1,7,1029,1029,0,9106.357,31070.89,1134.81,Cold/Very Cold,68,64,66,2,0,0,4,9781.173999999999,2
10157,2,3,7,1644,1644,470,8666.874,29571.376,1309.79,Cold/Very Cold,63,59,61,3,0,0,3,8401.438999999998,3
10158,3,5,7,2562,2562,2562,14244.765,48603.137,1545.29,Mixed-Humid,64,60,66,4,4,0,6,17510.395,3
10159,2,4,4,968,968,968,2246.698,7665.732,444.55,Cold/Very Cold,72,65,72,1,0,0,3,2051.689,3
10160,1,2,5,371,371,74,6918.0,23605.0,1174.0,Cold/Very Cold,70,65,65,2,5,0,1,3868.3149999999996,2
10161,3,5,6,1975,1317,1317,14282.921,48733.326,2059.67,Mixed-Humid,67,64,66,3,0,0,4,32336.274999999998,4
10162,3,7,8,2940,1070,1470,23265.118,79380.581,2728.43,Hot-Humid,73,73,73,2,0,0,3,54644.239,5
10163,1,2,8,1848,1848,462,9523.0,32491.0,1341.0,Cold/Very Cold,73,73,73,1,0,0,3,21878.041,4
10164,3,5,6,5168,3312,3312,14989.0,51143.0,2056.0,Hot-Humid,68,68,68,2,0,0,5,38113.357,5
10165,4,10,6,700,700,117,13785.768,47037.041,1380.53,Marine,68,65,65,1,5,0,1,33931.051,5
10166,3,7,4,2924,2924,2924,23682.0,80802.984,2549.55,Mixed-Humid,68,60,67,2,5,0,7,56284.663,5
10167,3,7,4,804,804,402,22256.183,75938.098,2208.05,Hot-Humid,75,68,70,5,1,0,2,44950.384,5
10168,2,3,7,2049,2049,1219,11288.834,38517.503,1686.56,Cold/Very Cold,68,62,67,2,2,0,5,8227.802,3
10169,2,4,5,1639,1639,1639,9096.789,31038.243,1222.44,Mixed-Humid,70,70,70,1,5,0,2,27591.461000000003,5
10170,3,7,5,809,809,485,14275.0,48706.3,1716.28,Hot-Humid,65,60,63,4,1,0,1,12644.743999999999,2
10171,2,4,6,1162,1162,1162,9560.452,32620.262,980.58,Mixed-Humid,68,68,68,4,0,0,4,20970.728,4
10172,3,7,7,1543,1543,1543,13637.275,46530.384,1340.1,Hot-Humid,72,72,72,1,5,0,3,25151.519,3
10173,3,7,5,1612,1612,0,7679.124,26201.173,852.11,Hot-Humid,69,69,69,3,5,0,1,23060.851000000002,2
10174,4,10,3,581,0,0,2206.287,7527.852,703.37,Hot-Humid,-2,-2,-2,2,5,0,3,4053.188,2
10175,1,1,7,3008,1954,1954,6129.677,20914.459,1204.88,Cold/Very Cold,68,57,62,2,5,0,7,9160.43,2
10176,3,7,6,2078,2078,2078,14758.572,50356.246,1660.65,Hot-Humid,71,69,69,2,5,0,4,39040.345,5
10177,3,6,7,1455,1455,1455,13746.945,46904.576,1825.52,Hot-Humid,69,50,77,1,4,1,1,31253.765,3
10178,1,2,6,1128,1128,1128,4655.455,15884.411,795.77,Cold/Very Cold,72,68,70,3,1,0,3,6216.299999999999,2
10179,4,10,4,735,735,0,2934.7,10013.196,509.87,Marine,68,60,60,1,0,0,5,4052.7239999999997,3
10180,3,7,6,1124,1124,1124,19845.0,67711.0,2300.0,Hot-Humid,70,65,65,2,5,0,8,43617.243,5
10181,4,9,6,1964,1964,0,2449.515,8357.746,363.57,Cold/Very Cold,62,58,62,1,0,0,2,1872.137,3
10182,3,6,5,3272,824,330,7714.845,26323.051,1091.62,Mixed-Humid,72,60,60,2,3,0,1,20675.458,4
10183,3,7,8,1911,1911,1911,30801.904,105096.098,3411.14,Hot-Humid,62,62,62,4,5,0,4,89515.232,5
10184,1,1,9,2866,2866,443,12509.645,42682.909,2273.65,Cold/Very Cold,64,54,54,2,4,0,6,21014.102,4
10185,3,7,3,1042,1042,1042,5576.0,19025.0,646.0,Hot-Humid,70,70,68,1,5,0,5,12537.555,5
10186,3,7,5,950,950,380,9867.601,33668.256,1635.42,Hot-Humid,70,68,70,1,0,0,3,29568.667,5
10187,2,3,8,1776,888,1776,8304.84,28336.115,1336.24,Cold/Very Cold,68,68,70,7,2,0,2,20250.045,5
10188,3,7,5,2600,1300,0,9849.0,33604.788,1207.05,Hot-Humid,80,80,78,2,0,0,8,7807.959000000001,1
10189,2,3,9,3379,3379,3379,5973.108,20380.243,901.81,Cold/Very Cold,75,70,68,4,5,0,7,7520.882,2
10190,4,10,4,803,803,0,11558.499,39437.599,732.51,Marine,70,70,70,2,3,0,3,32643.913,4
10191,3,5,6,1670,635,635,16666.446,56865.913,1833.73,Hot-Humid,71,74,74,2,5,0,5,24054.981,5
10192,2,4,11,6633,5528,5528,15727.075,53660.781,2363.73,Mixed-Humid,72,72,66,2,5,0,8,28994.655000000002,4
10193,2,3,8,2061,2061,2061,26021.918,88786.783,2580.41,Cold/Very Cold,72,70,70,2,2,0,5,55783.57,5
10194,2,3,5,1377,1377,1377,3660.057,12488.115,494.82,Cold/Very Cold,68,68,68,1,5,0,2,5176.505,3
10195,4,10,3,755,755,0,6621.281,22591.81,634.63,Cold/Very Cold,70,68,68,2,0,0,2,16039.243,4
10196,4,10,5,1210,0,0,8373.818,28571.468,1055.64,Hot-Dry/Mixed-Dry,-2,-2,-2,4,1,0,1,10115.529,1
10197,2,4,15,4304,4304,3654,29988.971,102322.37,3697.31,Cold/Very Cold,70,70,70,4,5,0,8,23854.953,3
10198,3,5,10,2056,2056,2056,23843.416,81353.736,2637.5,Hot-Humid,78,75,75,2,5,0,5,63670.79,5
10199,2,4,3,551,551,0,2679.0,9142.0,400.0,Cold/Very Cold,75,75,70,1,5,0,1,2050.547,2
10200,3,7,9,1920,1920,1920,24972.881,85207.471,2700.64,Hot-Humid,70,68,70,4,2,0,3,61436.63799999999,5
10201,4,10,7,1800,1800,1800,11261.78,38425.193,1976.96,Hot-Dry/Mixed-Dry,70,65,68,5,3,0,6,27470.936999999998,3
10202,4,8,7,3712,2531,2531,7711.033,26310.046,975.82,Cold/Very Cold,75,72,72,5,4,0,5,11899.728,3
10203,3,5,7,2976,2232,2976,5582.441,19047.289,759.96,Mixed-Humid,68,60,62,2,5,0,4,6839.751,2
10204,4,10,9,1258,1258,1258,10651.0,36342.0,2106.0,Hot-Dry/Mixed-Dry,72,64,64,4,5,0,3,28756.595,3
10205,2,4,15,7030,7030,7030,20028.404,68336.915,1902.97,Cold/Very Cold,69,69,69,4,0,0,8,19150.722999999998,2
10206,4,10,2,575,575,575,6713.0,22905.0,790.0,Marine,65,63,70,1,2,0,8,14542.796,5
10207,1,2,6,1658,829,276,9233.448,31504.525,931.88,Cold/Very Cold,72,72,72,4,5,0,4,13152.179,4
10208,4,10,7,1511,1511,1511,18830.429,64249.425,1428.9,Marine,65,65,65,4,5,0,3,54165.715000000004,5
10209,2,4,8,7558,5262,5262,10007.493,34145.566,1277.16,Mixed-Humid,68,55,55,3,5,0,6,13989.41,3
10210,4,10,7,1787,1787,1787,9380.065,32004.783,1337.29,Hot-Dry/Mixed-Dry,79,60,79,5,5,0,3,12229.635,2
10211,3,6,5,2420,1210,484,14513.691,49520.713,1425.14,Mixed-Humid,75,68,75,3,5,0,3,42959.611000000004,5
10212,1,1,8,2184,2184,819,5726.0,19537.112,1155.83,Cold/Very Cold,72,68,64,3,5,0,2,10236.711,3
10213,1,1,4,1050,1050,0,3857.696,13162.459,788.0,Cold/Very Cold,70,65,75,2,2,0,2,7323.459999999999,2
10214,4,10,5,1702,726,290,15244.825,52015.343,929.56,Marine,55,55,55,6,5,1,2,40923.462999999996,5
10215,4,10,5,1085,1085,434,8118.779,27701.275,1017.87,Hot-Dry/Mixed-Dry,70,50,70,5,1,1,4,15566.294999999998,2
10216,4,8,7,1426,1426,0,4758.305,16235.336,809.8,Cold/Very Cold,72,65,70,2,3,0,3,6523.197,2
10217,1,1,7,3824,2704,1159,15543.065,53032.936,3197.4,Cold/Very Cold,68,68,64,2,5,0,4,11518.916,3
10218,3,5,8,1481,1030,1030,12627.813,43086.097,1833.85,Mixed-Humid,72,72,72,2,5,0,6,22369.190000000002,3
10219,3,5,11,3840,2097,2097,12913.102,44059.504,1678.36,Mixed-Humid,67,67,67,3,0,0,3,19172.958,3
