DOEID,REGIONC,DIVISION,TOTROOMS,TOTSQFT_EN,TOTHSQFT,TOTCSQFT,KWH,BTUEL,DOLLAREL,CLIMATE_REGION_PUB,TEMPHOME,TEMPGONE,TEMPNITE,NHSLDMEM,ATHOME,ENERGYASST,MONEYPY,BTUEL_TOTALS,EL_TOTALS
13634,2,4,8,1658,1658,152,14549.0,49641.188,1783.74,Cold/Very Cold,67,65,67,2,5,0,2,34039.313,4
13635,2,3,3,770,770,770,7070.861,24125.776,775.9,Cold/Very Cold,65,65,65,1,5,0,3,18798.458,5
13636,4,9,5,2551,2551,2551,14012.998,47812.348,1883.77,Hot-Dry/Mixed-Dry,80,75,75,1,5,0,3,32649.538,5
13637,3,6,8,2822,1536,2179,11918.313,40665.282,1339.71,Mixed-Humid,68,65,68,2,1,0,5,27685.549000000003,3
13638,3,6,4,3054,2036,2036,6407.264,21861.584,958.94,Hot-Humid,72,72,72,1,1,0,2,15626.190999999999,5
13639,2,3,10,2190,1735,0,9454.005,32257.066,1226.88,Cold/Very Cold,68,55,60,2,5,0,4,5179.358,2
13640,3,7,5,1092,1092,1092,16619.287,56705.007,1468.5,Hot-Humid,75,70,75,7,0,1,3,17666.620000000003,2
13641,2,3,7,1100,1100,1100,9584.441,32702.113,931.26,Cold/Very Cold,72,65,72,4,0,0,3,11925.850999999999,2
13642,2,4,3,1147,1147,0,8437.0,28787.0,962.0,Cold/Very Cold,72,60,70,2,2,0,2,22305.387000000002,4
13643,3,5,6,1600,1600,1600,9913.235,33823.959,1337.69,Hot-Humid,67,67,67,2,0,0,6,26985.637999999995,4
13644,2,3,4,1444,1444,1444,7524.286,25672.863,1069.59,Cold/Very Cold,71,71,70,2,3,0,8,11554.814,2
13645,2,3,5,1530,1530,1530,3970.143,13546.127,621.1,Cold/Very Cold,70,70,70,1,5,0,2,4345.723,2
13646,1,2,6,3071,3071,1024,11101.49,37878.284,1876.17,Cold/Very Cold,72,68,68,3,0,0,5,26091.270999999997,5
13647,3,5,12,6500,5525,5038,20617.935,70348.396,2309.45,Mixed-Humid,70,68,72,4,5,0,8,27098.665,3
13648,4,10,6,2550,2550,2550,6515.079,22229.449,616.54,Cold/Very Cold,68,60,60,2,0,0,7,15075.783000000001,4
13649,4,9,7,1740,1740,0,3071.847,10481.141,440.12,Cold/Very Cold,72,62,62,4,1,0,4,2806.096,1
13650,3,7,6,3672,1836,1836,16641.313,56780.158,1942.95,Hot-Humid,70,60,68,3,3,1,1,46482.024000000005,2
13651,2,3,8,6536,6536,6536,6991.918,23856.424,936.19,Cold/Very Cold,68,64,68,3,0,0,8,12167.057,2
13652,1,2,3,718,718,479,1731.857,5909.097,617.96,Mixed-Humid,70,65,60,1,5,0,1,3672.376,2
13653,2,3,6,1512,1512,1512,25940.0,88506.0,2980.0,Mixed-Humid,70,64,70,4,5,0,1,66960.951,5
13654,1,1,5,1237,1237,495,3227.527,11012.321,605.63,Cold/Very Cold,68,60,68,4,5,1,1,2872.524,3
13655,4,9,5,1794,1794,1794,7189.319,24529.956,1055.47,Hot-Dry/Mixed-Dry,70,63,68,1,0,0,1,18640.881,4
13656,4,10,7,2514,1257,0,4512.933,15398.129,807.24,Marine,70,65,68,4,5,0,6,4643.428,1
13657,2,3,6,4832,4832,4832,12637.0,43118.0,1773.0,Cold/Very Cold,72,72,64,2,5,0,4,11378.862000000001,3
13658,2,4,4,770,770,193,4914.759,16769.156,545.92,Cold/Very Cold,71,71,69,2,0,0,3,11736.594000000001,5
13659,2,4,7,2652,2652,2652,4811.961,16418.41,754.7,Cold/Very Cold,70,70,70,2,2,0,7,5756.023000000001,3
